"d726a40","Karan","2019-11-12","Merge pull request #21 from vishwa742/master"
"3058ac0","vishwanath7","2019-11-11","Task: Added reference file for Variance of Sample Proportion"
"72f214d","vishwanath7","2019-11-11","Fix: Updated reference file for Sample Standard Deviation"
"6ad6ea4","vishwanath7","2019-11-11","Feature: Added reference file for Sample Standard Deviation"
"ae65dfb","vishwanath7","2019-11-11","Feature: Added reference file for Sample Mean"
"335544d","vishwanath7","2019-11-11","Feature: Added reference file for Proportion"
"d108a4e","vishwanath7","2019-11-11","Feature: Added reference file for P value"
"498c941","vishwanath7","2019-11-11","Feature: Added reference file for Confidence Interval"
"5ed4128","vishwanath7","2019-11-11","Feature: Added reference file for Correlation Coefficient"
"05b5d54","vishwa742","2019-11-11","Merge pull request #18 from enforcer20/master"
"9eecc63","Karan","2019-11-11","Fix: fix github link"
"ba08eaf","Karan","2019-11-11","Feature: Added Z-score definition to repo"
"44d04b2","Karan","2019-11-11","Fix: Deleted commented code"
"023b5f1","Karan","2019-11-11","Feature: Added Correlation Coefficient definition to repo"
"8ef522b","Karan","2019-11-11","Feature: Added Variance of population proportion definition to repo"
"4d14cb2","Karan","2019-11-11","Fix: Changed formatting"
"c703e13","Karan","2019-11-11","Feature: Added definition of Population mean to the repository."
"4e4d5aa","Karan","2019-11-11","Feature: Added definition of Standard Deviation to the repository."
"858023e","Karan","2019-11-11","Feature: Added definition of Mode to the repository."
"cee8d9c","Karan","2019-11-11","Feature: Added definition of Median to the repository."
"94a1462","Karan","2019-11-11","Task: Delete Test_csv file"
"1fa8f79","Karan","2019-11-11","Task: Added negative testing to with assertion message to each unit test function"
"b42b009","Karan","2019-11-11","Task: Added P-Value answer to the csv file"
"b293388","Karan","2019-11-11","Task: Created Test Csv File"
"17bebfc","Karan","2019-11-11","Fix: Deleted comments"
"22e6523","Karan","2019-11-10","Merge pull request #20 from vishwa742/master"
"fd3d981","vishwanath7","2019-11-10","Fix: fixed file path for csv files"
"b2a83e3","vishwanath7","2019-11-10","Feature: Added correct P value function"
"220a4f5","vishwanath7","2019-11-10","Task: Added test function for P value"
"5313db3","vishwanath7","2019-11-10","Task: Added new CSV file for Z table"
"58e392b","vishwanath7","2019-11-10","Task: Added new CSV file to test Correlation coefficient"
"156295b","vishwanath7","2019-11-10","Fix: Updated test and function for correlation coefficient"
"9192303","Karan","2019-11-10","Merge pull request #19 from vishwa742/master"
"778ce28","vishwanath7","2019-11-10","Task: Updated test_statistics file with data_add function"
"43cce3d","vishwanath7","2019-11-10","Task: Updated test_statistics file with data_add function"
"4ec5818","vishwanath7","2019-11-10","Task: Updated Median test with data_add function"
"e9da71a","vishwanath7","2019-11-10","Task: Updated Sample Mean with data_add function"
"469aaa8","vishwanath7","2019-11-10","Task: Updated Population Mean with data_add function"
"395f1cb","vishwanath7","2019-11-10","Feature: Added a function to add the CSV file data"
"4468e86","vishwanath7","2019-11-10","fix: Updated correlation coefficient to take samples from csv data"
"136febf","vishwanath7","2019-11-10","fix: Updated correlation coefficient to take samples from csv data"
"3e9ddd6","vishwanath7","2019-11-10","fix: deleted extra text"
"221d3d1","vishwanath7","2019-11-10","Fix: Updated correlation coefficient calculation method"
"7751b73","vishwa742","2019-11-10","Merge pull request #17 from enforcer20/master"
"83b9a66","Karan","2019-11-10","Fix: Update build status markdown link"
"e33abd6","Karan","2019-11-10","Fix: Update build status markdown link"
"6da2844","Karan","2019-11-10","Fix: Commented out coefficient function"
"05593fe","Karan","2019-11-10","Fix: Commented out p-value function"
"4096e9a","Karan","2019-11-10","Fix: Proportion function formatting fix"
"7f1bfca","Karan","2019-11-10","Task: Added Test_calculator python file"
"006aa93","Karan","2019-11-10","Task: Added Basic Math csv data files"
"8ac52d9","Karan","2019-11-10","Fix: Added p-value function"
